State,systematic_mean,systematic_std,systematic_p_change_from_HHcomputed,sampford_mean,sampford_std,sampford_p_change_from_HHcomputed,independent_mean,independent_std,independent_p_change_from_HHcomputed,thompson_mean,thompson_std,thompson_p_change_from_HHcomputed
Alabama,6.8494,0.3576585522533891,0.1506,6.85,0.35707142142714327,0.15,6.8484,0.35863273693291275,0.1516,6.9992,0.028272955275317087,0.0008
Alaska,1.8562,0.3508868193591662,0.8562,1.8566666666666667,0.35041245538492033,0.8566666666666667,1.8594,0.3476084578947893,0.8594,1.9986,0.03739037309254922,0.9986
Arizona,9.324,0.4680000000000014,0.324,9.326666666666666,0.4689941956523083,0.32666666666666666,9.3192,0.46616666547490976,0.3192,9.05,0.21794494717702956,0.05
Arkansas,4.5126,0.4998412147872432,0.5126,4.486666666666666,0.4998221906060421,0.4866666666666667,4.5026,0.4999932399543107,0.5026,4.4594,0.49834891391473046,0.4594
California,47.0182,0.13367408125735816,1.0,47.02,0.13999999999999976,1.0,47.0172,0.13001599901551433,1.0,47.0,0.0,1.0
Colorado,7.7168,0.4505527272140159,0.2832,7.76,0.4270831300812527,0.24,7.7292,0.4443729964792958,0.2708,7.9666,0.17967871326342094,0.0334
Connecticut,5.1968,0.3975798787665033,0.1968,5.18,0.38418745424597145,0.18,5.1828,0.3865024708847127,0.1828,5.0012,0.03462022530256069,0.0012
Delaware,2.153,0.35998749978298383,1.0,2.1266666666666665,0.3325991915537706,1.0,2.1482,0.35529812833730945,1.0,2.0006,0.02448754785600261,1.0
Florida,26.078,0.2681715868618308,1.0,26.1,0.3000000000000009,1.0,26.0748,0.2630683561358193,1.0,26.0,0.0,1.0
Georgia,13.4782,0.4995245339320241,0.5218,13.49,0.4998999899979992,0.51,13.4668,0.49889654238127235,0.5332,13.3354,0.4721301091860133,0.6646
Hawaii,2.689,0.46290279757202163,0.689,2.6766666666666667,0.4677487454701377,0.6766666666666666,2.6998,0.4583448047049172,0.6998,2.943,0.23184261903283349,0.943
Idaho,3.1432,0.35027669063184286,1.0,3.14,0.34698703145794957,1.0,3.1274,0.3334205152656266,1.0,3.0006,0.024487547856002625,1.0
Illinois,15.9088,0.2878933135729271,1.0,15.893333333333333,0.3086889840744057,1.0,15.9218,0.2684860517792322,1.0,16.0,0.0,1.0
Indiana,8.8944,0.30732497457902325,0.1056,8.926666666666666,0.26068286394689466,0.07333333333333333,8.905,0.29321493822792405,0.095,8.9996,0.019995999599920097,0.0004
Iowa,4.7214,0.4483102051035657,0.7214,4.6866666666666665,0.463848634314639,0.6866666666666666,4.719,0.44948748592148785,0.719,4.9544,0.2086160108908308,0.9544
Kansas,4.4102,0.49186986083720463,0.4102,4.41,0.49183330509431844,0.41,4.4132,0.4924081234098415,0.4132,4.1966,0.39742727636636527,0.1966
Kentucky,6.248,0.43185182644051756,0.248,6.286666666666667,0.45220447685631066,0.2866666666666667,6.242,0.42829429134651564,0.242,6.0072,0.08454679177827971,0.0072
Louisiana,6.4198,0.49352604794478844,0.4198,6.386666666666667,0.4869861964733241,0.38666666666666666,6.4164,0.4929614995108744,0.4164,6.1958,0.39681527188353677,0.1958
Maine,2.5842,0.4928593714235347,0.5842,2.6133333333333333,0.4869861964733241,0.6133333333333333,2.5906,0.4917231334806345,0.5906,2.718,0.4499733325431643,0.718
Maryland,8.1972,0.3978846063873338,0.1972,8.206666666666667,0.40491425704160505,0.20666666666666667,8.1838,0.38732100381982265,0.1838,8.0012,0.034620225302560426,0.0012
Massachusetts,9.1762,0.3809902360953539,0.1762,9.136666666666667,0.3434951075181264,0.13666666666666666,9.1696,0.3752810147076494,0.1696,9.001,0.03160696125855879,0.001
Michigan,12.7236,0.4472169943103718,0.2764,12.753333333333334,0.43107101760872446,0.24666666666666667,12.741,0.4380856080722179,0.259,12.9674,0.17758727431885038,0.0326
Minnesota,7.6368,0.4809217815820023,0.3632,7.6,0.48989794855663593,0.4,7.6434,0.4789952400598512,0.3566,7.8536,0.3535067750411667,0.1464
Mississippi,4.4546,0.49793457401550495,0.4546,4.503333333333333,0.4999888887654282,0.5033333333333333,4.4424,0.4966711588163696,0.4424,4.2748,0.44641344065788297,0.2748
Missouri,8.1616,0.36808346879477827,0.1616,8.11,0.3128897569432408,0.11,8.1544,0.3613317589141678,0.1544,8.0012,0.03462022530256133,0.0012
Montana,2.254,0.43529759935015866,0.254,2.296666666666667,0.4567883049680167,0.2966666666666667,2.2636,0.4405848839894342,0.2636,2.0102,0.10047865444958329,0.0102
Nebraska,3.2898,0.4536694391294245,0.2898,3.276666666666667,0.4473502232280897,0.27666666666666667,3.2736,0.44580605648645144,0.2736,3.0214,0.1447136482851611,0.0214
Nevada,4.6084,0.4881080208314574,0.6084,4.6033333333333335,0.48920570542689223,0.6033333333333334,4.6322,0.4822065532528397,0.6322,4.8096,0.39261665782287014,0.8096
New Hampshire,2.6084,0.488108020831457,0.6084,2.6333333333333333,0.4818944098266996,0.6333333333333333,2.5968,0.49054027357597785,0.5968,2.7806,0.41384011405370696,0.7806
New Jersey,11.8074,0.3943415271056122,0.1926,11.8,0.39999999999999947,0.2,11.8062,0.3952740315274908,0.1938,11.9964,0.059891902624642925,0.0036
New Mexico,3.4656,0.4988152363350539,0.4656,3.43,0.49507575177946195,0.43,3.4674,0.49893610813408323,0.4674,3.3142,0.4641964670266197,0.3142
New York,24.5074,0.4999452370010172,1.0,24.533333333333335,0.49888765156985837,1.0,24.5014,0.4999980399961563,1.0,24.4596,0.49836516732211067,1.0
North Carolina,13.1494,0.3564823137267699,0.8506,13.153333333333334,0.36030850978324447,0.8466666666666667,13.1558,0.3626656311259788,0.8442,13.0008,0.028272955275316595,0.9992
North Dakota,1.9108,0.2850322087063033,0.9108,1.92,0.2712931993250102,0.92,1.9066,0.29099216484298457,0.9066,1.9998,0.014140721339450553,0.9998
Ohio,14.7242,0.446916502268618,0.2758,14.7,0.4582575694955854,0.3,14.7398,0.4387436153381508,0.2602,14.974,0.15913516267625716,0.026
Oklahoma,5.6142,0.4867836891269001,0.6142,5.62,0.4853864439804631,0.62,5.611,0.48752333277497856,0.611,5.791,0.4065943924846893,0.791
Oregon,5.9352,0.24617262236081958,0.0648,5.94,0.23748684174075896,0.06,5.9388,0.2396968084893807,0.0612,6.0,0.0,0.0
Pennsylvania,16.1292,0.33542116808571865,0.8708,16.106666666666666,0.30868898407440626,0.8933333333333333,16.1232,0.32866663962137316,0.8768,16.0004,0.019995999599920506,0.9996
Rhode Island,2.268,0.4429175995600092,0.268,2.3,0.45825756949558577,0.3,2.2752,0.44661500198717863,0.2752,2.0218,0.14602999691844182,0.0218
South Carolina,6.9614,0.19263966362095886,0.0386,6.956666666666667,0.20360637405433976,0.043333333333333335,6.954,0.20948508300115454,0.046,7.0,0.0,0.0
South Dakota,2.0308,0.17277546122062637,1.0,2.0366666666666666,0.18794207145347303,1.0,2.032,0.17600000000000227,1.0,2.0,0.0,1.0
Tennessee,9.0432,0.2033070584116515,0.0432,9.026666666666667,0.16110727964792804,0.02666666666666667,9.0428,0.20240592876691169,0.0428,9.0,0.0,0.0
Texas,34.933,0.25002199903208355,1.0,34.94,0.23748684174075851,1.0,34.9364,0.24403901327450406,1.0,35.0,0.0,1.0
Utah,4.8128,0.3900719933550623,0.8128,4.793333333333333,0.40491425704160505,0.7933333333333333,4.8194,0.384686417748287,0.8194,4.9964,0.05989190262464314,0.9964
Vermont,1.7512,0.4323176609855472,0.7512,1.7966666666666666,0.4024784328245299,0.7966666666666666,1.7476,0.43438950263558007,0.7476,1.9772,0.14926540121541487,0.9772
Virginia,11.063,0.24296296014002364,0.063,11.043333333333333,0.20360637405434007,0.043333333333333335,11.0608,0.23896309338471702,0.0608,11.0,0.0,0.0
Washington,9.9734,0.16091127990292806,0.0266,9.986666666666666,0.11469767022723466,0.013333333333333334,9.9716,0.16611273280516706,0.0284,10.0,0.0,0.0
West Virginia,3.0824,0.27497316232680247,1.0,3.06,0.23748684174075868,1.0,3.0814,0.2734484229246983,1.0,3.0002,0.014140721339450144,1.0
Wisconsin,7.8602,0.3467794111535646,0.1398,7.873333333333333,0.33259919155377043,0.12666666666666668,7.8654,0.34129582476202236,0.1346,7.999,0.03160696125855923,0.001
Wyoming,1.6644,0.4721997882252952,0.6644,1.6466666666666667,0.4780051138731558,0.6466666666666666,1.6786,0.4670139612474037,0.6786,1.922,0.26817158686183185,0.922
