State,Population,HH_official,Hamilton,Jefferson,Webster,HuntingtonHill,Rand_Systematic(one),Rand_Sampford(one),Hamilton_diff_from_HHcomputed,Jefferson_diff_from_HHcomputed,Webster_diff_from_HHcomputed,HuntingtonHill_diff_from_HHcomputed,HHofficial_diff_from_HHcomputed
Alabama,5030053,7,7,6,7,7,7,7,0,-1,0,0,0
Alaska,736081,1,2,1,1,1,2,2,1,0,0,0,0
Arizona,7158923,9,9,9,9,9,9,9,0,0,0,0,0
Arkansas,3013756,4,4,4,4,4,5,5,0,0,0,0,0
California,39576757,52,47,54,52,52,47,47,-5,2,0,0,0
Colorado,5782171,8,8,8,8,8,7,8,0,0,0,0,0
Connecticut,3608298,5,5,5,5,5,6,5,0,0,0,0,0
Delaware,990837,1,2,1,1,1,2,2,1,0,0,0,0
Florida,21570527,28,26,29,28,28,26,26,-2,1,0,0,0
Georgia,10725274,14,13,14,14,14,13,14,-1,0,0,0,0
Hawaii,1460137,2,3,2,2,2,3,2,1,0,0,0,0
Idaho,1841377,2,3,2,2,2,3,3,1,0,0,0,0
Illinois,12822739,17,16,17,17,17,16,16,-1,0,0,0,0
Indiana,6790280,9,9,9,9,9,9,9,0,0,0,0,0
Iowa,3192406,4,5,4,4,4,5,5,1,0,0,0,0
Kansas,2940865,4,4,4,4,4,4,4,0,0,0,0,0
Kentucky,4509342,6,6,6,6,6,6,7,0,0,0,0,0
Louisiana,4661468,6,6,6,6,6,7,6,0,0,0,0,0
Maine,1363582,2,3,1,2,2,2,3,1,-1,0,0,0
Maryland,6185278,8,8,8,8,8,9,8,0,0,0,0,0
Massachusetts,7033469,9,9,9,9,9,9,9,0,0,0,0,0
Michigan,10084442,13,13,13,13,13,12,13,0,0,0,0,0
Minnesota,5709752,8,8,7,8,8,8,7,0,-1,0,0,0
Mississippi,2963914,4,4,4,4,4,5,5,0,0,0,0,0
Missouri,6160281,8,8,8,8,8,8,8,0,0,0,0,0
Montana,1085407,2,2,1,1,2,2,2,0,-1,-1,0,0
Nebraska,1963333,3,3,2,3,3,3,4,0,-1,0,0,0
Nevada,3108462,4,5,4,4,4,5,4,1,0,0,0,0
New Hampshire,1379089,2,3,1,2,2,2,3,1,-1,0,0,0
New Jersey,9294493,12,12,12,12,12,12,12,0,0,0,0,0
New Mexico,2120220,3,3,2,3,3,4,3,0,-1,0,0,0
New York,20215751,26,25,28,27,26,24,25,-1,2,1,0,0
North Carolina,10453948,14,13,14,14,14,13,13,-1,0,0,0,0
North Dakota,779702,1,2,1,1,1,2,2,1,0,0,0,0
Ohio,11808848,15,15,16,16,15,15,14,0,1,1,0,0
Oklahoma,3963516,5,6,5,5,5,6,6,1,0,0,0,0
Oregon,4241500,6,6,5,6,6,6,6,0,-1,0,0,0
Pennsylvania,13011844,17,16,18,17,17,16,16,-1,1,0,0,0
Rhode Island,1098163,2,2,1,1,2,2,2,0,-1,-1,0,0
South Carolina,5124712,7,7,7,7,7,7,7,0,0,0,0,0
South Dakota,887770,1,2,1,1,1,2,2,1,0,0,0,0
Tennessee,6916897,9,9,9,9,9,9,9,0,0,0,0,0
Texas,29183290,38,35,40,38,38,35,35,-3,2,0,0,0
Utah,3275252,4,5,4,4,4,5,5,1,0,0,0,0
Vermont,643503,1,2,1,1,1,1,2,1,0,0,0,0
Virginia,8654542,11,11,11,11,11,12,11,0,0,0,0,0
Washington,7715946,10,10,10,10,10,10,10,0,0,0,0,0
West Virginia,1795045,2,3,2,2,2,3,3,1,0,0,0,0
Wisconsin,5897473,8,8,8,8,8,7,8,0,0,0,0,0
Wyoming,577719,1,2,1,1,1,2,1,1,0,0,0,0
