method,avg_flips,std_flips,p_any_change,avg_expected_flips,std_expected_flips
Hamilton,0.4915,0.499927744779183,0.4915,,
Jefferson,1.348,0.7140700245774219,0.911,,
Webster,0.362,0.5009550878072805,0.352,,
HuntingtonHill,0.65,0.5084289527554464,0.6345,,
Rand_systematic_intrinsic_vsHH,16.6955,1.6354753896038912,1.0,,
Rand_independent_intrinsic_vsHH,16.6985,1.282808539884265,1.0,,
Rand_thompson_intrinsic_vsHH,15.458,0.7571235037957809,1.0,,
Rand_systematic_noise_on_mean,,,1.0,0.9273699999999998,0.17885715836946525
Rand_independent_noise_on_mean,,,1.0,1.011425000000001,0.0987543385122902
Rand_thompson_noise_on_mean,,,1.0,0.4745025000000006,0.09142546140846135
Rand_sampford_intrinsic_vsHH,16.804,1.6252950501370513,1.0,,
Rand_sampford_noise_on_mean,,,1.0,1.1745999999999994,0.2567154845349226
